Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.0388165035113614,1.19219437812788E-05,-0.0360013611915506,0,0,0,1.15713272912918,0.00509869576779889,-1.47058975087707E-07,-3.5968342472467E-05,0.00118353363951397,3.21815243924651E-07,0.00454960000793292,0,0,0,0,0,0,package://shuangzu/meshes/base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/base.STL,,zhicheng1^shuangzu-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r1,-0.0301036420070822,-0.000198392294632019,5.24275207025956E-05,0,0,0,0.232040896756309,0.000313426417187083,-1.40235009116806E-06,4.53450819930152E-07,0.000251851828893196,-5.33656049543053E-08,0.000248038142545207,0,0,0,0,0,0,package://shuangzu/meshes/r1.STL,1,1,1,1,0,0,0,0,0,0,package://shuangzu/meshes/r1.STL,,youtui1^shuangzu-1,youtui1sys,youtui1axis,r1,fixed,-0.048,-0.105,-0.0575,0,0,0,base,-1,0,0,,,,,,,,,,,,
r2,0.0271385156867913,1.98571900084654E-05,0.000942883382600944,0,0,0,0.326596679590429,0.000334468424290944,1.69955385082428E-08,8.5907549432608E-06,0.000224746586204988,-1.82816842529892E-07,0.000297958448467681,0,0,0,0,0,0,package://shuangzu/meshes/r2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/r2.STL,,youtui2^shuangzu-2,youtui2sys,youtui2axis,r2,continuous,0,0,0,0,0,0,r1,-1,0,0,,,,,,,,,,,,
r3,-0.000754421305820943,-0.0436142462855318,-0.0795445987225532,0,0,0,0.526480913399569,0.00144436269040157,8.00120105952724E-07,-4.5246763037308E-07,0.00237768970890907,-5.62433641274564E-05,0.00132852545386902,0,0,0,0,0,0,package://shuangzu/meshes/r3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/r3.STL,,youtui3^shuangzu-1,youtui3sys,youtui3axis,r3,continuous,0.0480000000000001,0,-0.041500000000002,0,0,0,r2,0,0,1,,,,,,,,,,,,
r4,0.00414274048373942,0.014742802160009,-0.116337018476203,0,0,0,1.06208799818476,0.00921848864454789,-3.90074675019488E-06,0.000236566331243245,0.0110621131240207,1.7403491837094E-05,0.00217449616559131,0,0,0,0,0,0,package://shuangzu/meshes/r4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/r4.STL,,youtui4^shuangzu-1,youtui4sys,youtui4axis,r4,continuous,0,0,-0.0889999999999575,0,0,0,r3,0,1,0,,,,,,,,,,,,
r5,0.00377652420652198,5.89912261424463E-05,-0.120093820267261,0,0,0,0.279987571874506,0.00314925307132929,9.31298020785134E-07,-1.15177905028324E-05,0.00320414061497404,1.23010838345355E-06,0.000152971970257816,0,0,0,0,0,0,package://shuangzu/meshes/r5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/r5.STL,,youtui5^shuangzu-1,youtui5sys,youtui5axis,r5,continuous,0,0,-0.360000000000043,0,0,0,r4,0,-1,0,,,,,,,,,,,,
r6,1.75712083771984E-11,4.40298492110358E-11,-1.54321000422897E-14,0,0,0,0.0103794627853151,6.63795299486449E-07,-2.1487868388165E-18,-7.47956157400218E-15,5.71433491493733E-07,3.38381052516315E-15,5.42796866504315E-07,0,0,0,0,0,0,package://shuangzu/meshes/r6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/r6.STL,,youtui6^shuangzu-1,youtui6sys,youtui6axis,r6,continuous,0,0,-0.33999999999998,0,0,0,r5,0,1,0,,,,,,,,,,,,
r7,0.0184463901122061,-1.03759343936249E-07,-0.0277803799872313,0,0,0,0.165596216808301,4.94257801002141E-05,1.40978954239748E-09,1.44935636843648E-05,0.000565536359670237,-1.07866475611434E-11,0.00060782280753018,0,0,0,0,0,0,package://shuangzu/meshes/r7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/r7.STL,,youtui7^shuangzu-1,youtui7sys,youtui7axis,r7,continuous,0,0,0,0,0,0,r6,1,0,0,,,,,,,,,,,,
l1,-0.0301036420831967,0.000198392313791179,-5.24274804167123E-05,0,0,0,0.232040897144942,0.000313426417045909,1.40235014790346E-06,-4.53450481784878E-07,0.000251851829715391,-5.33653683415869E-08,0.000248038143153795,0,0,0,0,0,0,package://shuangzu/meshes/l1.STL,1,1,1,1,0,0,0,0,0,0,package://shuangzu/meshes/l1.STL,,zuotui1^shuangzu-1,zuotui1sys,zuotui1axis,l1,fixed,-0.048,0.105,-0.0575,0,0,0,base,0,0,0,,,,,,,,,,,,
l2,0.0271385156932826,1.98573144249981E-05,0.000942883331069348,0,0,0,0.326596678051437,0.000334468423049104,1.69961220084411E-08,8.59075464034959E-06,0.000224746585597578,-1.82817339296806E-07,0.000297958447124488,0,0,0,0,0,0,package://shuangzu/meshes/l2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/l2.STL,,zuotui2^shuangzu-1,zuotui2sys,zuotui2axis,l2,continuous,0,0,0,0,0,0,l1,1,0,0,,,,,,,,,,,,
l3,0.000704399854483576,0.0436142508316247,-0.0792544920091012,0,0,0,0.526481000462042,0.00144088199316712,6.21234645518684E-07,7.99020696509431E-06,0.00237769185100351,5.65395580323391E-05,0.00133201088633625,0,0,0,0,0,0,package://shuangzu/meshes/l3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/l3.STL,,zuotui3^shuangzu-1,zuotui3sys,zuotui3axis,l3,continuous,0.048,0,-0.0414999999999999,0,0,0,l2,0,0,1,,,,,,,,,,,,
l4,0.00414763780808551,-0.0147428014423457,-0.11558933708508,0,0,0,1.06208801950349,0.00921850144403348,3.88973107711364E-06,0.000237154047747949,0.0110621194920457,-1.90748584400272E-05,0.0021744873362096,0,0,0,0,0,0,package://shuangzu/meshes/l4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://shuangzu/meshes/l4.STL,,zuotui4^shuangzu-1,zuotui4sys,zuotui4axis,l4,continuous,0,0,-0.089,0,0,0,l3,0,-1,0,,,,,,,,,,,,
