Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.036637,4.3663E-05,0.15357,0,0,0,11.172,0.039398,1.8234E-05,-0.0010258,0.026608,-4.6606E-06,0.022508,0,0,0,0,0,0,package://GR1副本/meshes/base.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/base.STL,,zhicheng1^GR1副本-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r2,-0.0050455,3.4568E-05,-0.0021388,0,0,0,1.1437,0.0010239,9.9509E-08,5.4748E-05,0.0009439,-1.1272E-06,0.0011557,0,0,0,0,0,0,package://GR1副本/meshes/r2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/r2.STL,,youtui2^GR1副本-2,youtui2sys,youtui2axis,r2,continuous,-0.00132425533414147,-0.104996069681443,-0.0575071926927111,0,0,0,base,-0.999999999925458,0,-1.22100045743563E-05,101.7,7.96,-1.05,1.05,,,,,,,,
r3,-0.047588,-0.047602,-0.085563,0,0,0,3.8882,0.0096885,7.3757E-06,-3.9304E-06,0.016117,-0.00015325,0.0092403,0,0,0,0,0,0,package://GR1副本/meshes/r3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/r3.STL,,youtui3^GR1副本-1,youtui3sys,youtui3axis,r3,continuous,0.048001,0,-0.041499,0,0,0,r2,-1.221E-05,-6.8349E-05,1,82.5,12.57,-1.05,1.05,,,,,,,,
r4,0.0021557,0.025138,-0.082595,0,0,0,5.4689,0.030611,-8.7856E-06,0.00064681,0.039671,4.3673E-05,0.011699,0,0,0,0,0,0,package://GR1副本/meshes/r4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/r4.STL,,youtui4^GR1副本-1,youtui4sys,youtui4axis,r4,continuous,-0.046674,0,-0.089001,0,0,0,r3,0,1,6.8349E-05,226.8,22.4,-1.05,1.05,,,,,,,,
r5,0.0017785,3.6627E-05,-0.11363,0,0,0,1.5455,0.0088749,2.9362E-06,-3.1598E-05,0.0089011,4.8916E-06,0.00078375,0,0,0,0,0,0,package://GR1副本/meshes/r5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/r5.STL,,youtui5^GR1副本-1,youtui5sys,youtui5axis,r5,continuous,0,2.4606E-05,-0.36,0,0,0,r4,0,-1,-6.8349E-05,226.8,22.4,-1.05,1.05,,,,,,,,
r6,1.7547E-11,4.4038E-11,7.4385E-15,0,0,0,0.079922,5.1112E-06,-7.9045E-16,1.1318E-11,4.4E-06,1.5097E-11,4.1795E-06,0,0,0,0,0,0,package://GR1副本/meshes/r6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/r6.STL,,youtui6^GR1副本-1,youtui6sys,youtui6axis,r6,continuous,0,2.3239E-05,-0.34,0,0,0,r5,0,1,6.8349E-05,19.8,14.5,-1.05,1.05,,,,,,,,
r7,0.039083,-0.00027078,-0.037409,0,0,0,0.58129,0.00033618,-2.0546E-06,2.3207E-05,0.002252,8.6111E-07,0.0025334,0,0,0,0,0,0,package://GR1副本/meshes/r7.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/r7.STL,,youtui7^GR1副本-1,youtui7sys,youtui7axis,r7,continuous,0,0,0,0,0,0,r6,1,0,1.221E-05,19.8,14.5,-1.05,1.05,,,,,,,,
l2,0.04163,3.4568E-05,-0.0021382,0,0,0,1.1437,0.0010239,9.9508E-08,5.4748E-05,0.0009439,-1.1273E-06,0.0011557,0,0,0,0,0,0,package://GR1副本/meshes/l2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/l2.STL,,zuotui2^GR1副本-1,zuotui2sys,zuotui2axis,l2,continuous,-0.047999,0.105,-0.057493,0,0,0,base,1,0,1.221E-05,101.7,7.96,-1.05,1.05,,,,,,,,
l3,-0.11803,0.047613,-0.085206,0,0,0,3.8882,0.0096574,5.7665E-06,7.1374E-05,0.016117,0.00015683,0.0092715,0,0,0,0,0,0,package://GR1副本/meshes/l3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/l3.STL,,zuotui3^GR1副本-1,zuotui3sys,zuotui3axis,l3,continuous,0.16688,0,-0.041498,0,0,0,l2,-1.221E-05,-6.8349E-05,1,82.5,12.57,-1.05,1.05,,,,,,,,
l4,0.0021642,-0.025127,-0.0813,0,0,0,5.4689,0.03061,8.6001E-06,0.0006341,0.039671,-5.4803E-05,0.011699,0,0,0,0,0,0,package://GR1副本/meshes/l4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/l4.STL,,zuotui4^GR1副本-1,zuotui4sys,zuotui4axis,l4,continuous,-0.11888,0,-0.089001,0,0,0,l3,0,-1,-6.8349E-05,226.8,22.4,-1.05,1.05,,,,,,,,
l5,0.0018701,-2.1183E-05,-0.11365,0,0,0,1.5455,0.0088739,-4.2863E-06,-3.1774E-05,0.008901,-5.8225E-08,0.00078469,0,0,0,0,0,0,package://GR1副本/meshes/l5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/l5.STL,,zuotui5^GR1副本-1,zuotui5sys,zuotui5axis,l5,continuous,0,2.4606E-05,-0.36,0,0,0,l4,0,1,6.8349E-05,226.8,22.4,-1.05,1.05,,,,,,,,
l6,1.7494E-11,4.3804E-11,-1.0991E-14,0,0,0,0.080335,5.1022E-06,-7.7588E-16,1.1105E-11,4.3976E-06,1.4349E-11,4.188E-06,0,0,0,0,0,0,package://GR1副本/meshes/l6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/l6.STL,,zuotui6^GR1副本-1,zuotui6sys,zuotui6axis,l6,continuous,0,2.3239E-05,-0.34,0,0,0,l5,0,1,6.8349E-05,19.8,14.5,-1.05,1.05,,,,,,,,
l7,0.039078,0.00027492,-0.037409,0,0,0,0.58136,0.00033624,1.9571E-06,2.3221E-05,0.0022523,-8.9755E-07,0.0025337,0,0,0,0,0,0,package://GR1副本/meshes/l7.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/l7.STL,,zuotui7^GR1副本-1,zuotui7sys,zuotui7axis,l7,continuous,0,0,0,0,0,0,l6,-1,0,-1.221E-05,19.8,14.5,-1.05,1.05,,,,,,,,
you1,0.0064427,-0.058291,5.4443E-05,0,0,0,0.77713,0.00056499,-2.3147E-06,-3.0877E-08,0.00033022,-5.8326E-07,0.00034364,0,0,0,0,0,0,package://GR1副本/meshes/you1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/you1.STL,,youbi2^GR1副本-1,youbi2sys,youbi2axis,you1,continuous,0,-0.12666,0.36376,-0.43633,0,0,base,0,-1,0,27.6,10.47,-1.05,1.05,,,,,,,,
you2,-0.026146,-0.094489,0.036021,0,0,0,0.50667,0.00028881,-3.223E-05,1.8922E-05,0.00027465,4.832E-05,0.00025067,0,0,0,0,0,0,package://GR1副本/meshes/you2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/you2.STL,,youbi3^GR1副本-1,youbi3sys,youbi3axis,you2,continuous,0.032,-0.067,0,2.0071,0,0,you1,-1,0,0,27.6,10.47,-1.05,1.05,,,,,,,,
you3,-0.0006805,-0.086322,0.00014179,0,0,0,0.46876,0.00015916,-3.9971E-06,6.7405E-07,0.00013262,1.1006E-06,0.0002229,0,0,0,0,0,0,package://GR1副本/meshes/you3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/you3.STL,,youbi4^GR1副本-1,youbi4sys,youbi4axis,you3,continuous,-0.032,-0.13653,0.04,0,0,0,you2,0,-1,0,27.6,10.47,-1.05,1.05,,,,,,,,
you4,0.0010019,-0.15753,-0.014714,0,0,0,0.30021,0.0011521,1.1366E-05,-1.375E-06,0.00014448,0.00011717,0.0011572,0,0,0,0,0,0,package://GR1副本/meshes/you4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/you4.STL,,youbi5^GR1副本-1,youbi5sys,youbi5axis,you4,continuous,0,-0.11,0.02253,0,0,0,you3,0,0,1,27.6,10.47,-1.05,1.05,,,,,,,,
zuo1,0.0064428,0.058291,5.4442E-05,0,0,0,0.77713,0.00056499,2.3147E-06,-3.1014E-08,0.00033021,5.8125E-07,0.00034364,0,0,0,0,0,0,package://GR1副本/meshes/zuo1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/zuo1.STL,,zuobi2^GR1副本-1,zuobi2sys,zuobi2axis,zuo1,continuous,0,0.12659,0.36376,0.43633,0,0,base,0,1,0,27.6,10.47,-1.05,1.05,,,,,,,,
zuo2,-0.025895,0.092939,0.035875,0,0,0,0.48868,0.00028315,3.2145E-05,1.8922E-05,0.00026288,-4.8321E-05,0.00024445,0,0,0,0,0,0,package://GR1副本/meshes/zuo2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/zuo2.STL,,zuobi3^GR1副本-1,zuobi3sys,zuobi3axis,zuo2,continuous,0.032,0.067,0,-2.0071,0,0,zuo1,1,0,0,27.6,10.47,-1.05,1.05,,,,,,,,
zuo3,-0.00064343,0.087627,0.00092854,0,0,0,0.49604,0.00016309,3.9788E-06,6.7147E-07,0.00013665,-1.0879E-06,0.00023062,0,0,0,0,0,0,package://GR1副本/meshes/zuo3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/zuo3.STL,,zuobi4^GR1副本-1,zuobi4sys,zuobi4axis,zuo3,continuous,-0.032,0.13653,0.04,0,0,0,zuo2,0,-1,0,27.6,10.47,-1.05,1.05,,,,,,,,
zuo4,0.0010051,0.15751,-0.014718,0,0,0,0.30014,0.0011518,-1.1444E-05,-1.3855E-06,0.00014445,-0.00011709,0.001157,0,0,0,0,0,0,package://GR1副本/meshes/zuo4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://GR1副本/meshes/zuo4.STL,,zuobi5^GR1副本-1,zuobi5sys,zuobi5axis,zuo4,continuous,0,0.11,0.02253,0,0,0,zuo3,0,0,1,27.6,10.47,-1.05,1.05,,,,,,,,
